pagec,content_type,type,agency,dest,byte_len,is_avail,fn,type_text
13,pdf,0,Philippine Normal University,Philippine Normal University/summary.txt,28347,True,03-PNU2020_Executive_Summary.pdf,Executive Summary
16,pdf,0,Polytechnic University of the Philippines,Polytechnic University of the Philippines/summary.txt,37697,True,03-PUP2020_Executive_Summary.pdf,Executive Summary
10,pdf,0,Rizal Technological University,Rizal Technological University/summary.txt,20502,True,03-RTU2020_Executive_Summary.pdf,Executive Summary
11,pdf,0,Technological University of the Philippines System,Technological University of the Philippines System/summary.txt,23633,True,03-TUP2020_Executive_Summary.pdf,Executive Summary
91,pdf,1,Ilocos Sur Polytechnic State College,Ilocos Sur Polytechnic State College/summary.txt,173232,True,01-ISPSC2020_Audit_Report.pdf,Audit Report
57,pdf,1,North Luzon Philippines State College,North Luzon Philippines State College/summary.txt,101499,True,01-NLPSC2020_Audit_Report.pdf,Audit Report
112,pdf,1,University of Northern Philippines,University of Northern Philippines/summary.txt,226016,True,01-UNP2020_Audit_Report.pdf,Audit Report
191,pdf,1,Batangas State University,Batangas State University/summary.txt,382469,True,BSU2020_Audit_Report.pdf,Audit Report
172,pdf,1,Cavite State University,Cavite State University/summary.txt,368221,True,CvSU2020_Audit_Report.pdf,Audit Report
194,pdf,1,Laguna State Polytechnic University,Laguna State Polytechnic University/summary.txt,522,False,LSPU2020_Audit_Report.pdf,Audit Report
231,pdf,1,Southern Luzon State University,Southern Luzon State University/summary.txt,593,False,SLSU2020_Audit_Report.pdf,Audit Report
193,pdf,1,University of Rizal System,University of Rizal System/summary.txt,431010,True,URS2020_Audit_Report.pdf,Audit Report
6,pdf,0,Romblon State University,Romblon State University/summary.txt,15447,True,05-RSU2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Catanduanes State University,Catanduanes State University/summary.txt,74,False,03-CSU2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology/summary.txt,72,False,03-DEBESMSCAT2020-Executive_Summary.pdf,Executive Summary
122,pdf,1,Biliran Province State University,Biliran Province State University/summary.txt,211090,True,BiPSU2020-Audit_Report.pdf,Audit Report
285,pdf,1,Eastern Samar State University,Eastern Samar State University/summary.txt,569222,True,ESSU2020_Audit_Report.pdf,Audit Report
106,pdf,1,National Maritime Polytechnic,National Maritime Polytechnic/summary.txt,171028,True,NationalMaritimePolytechnic2020_Audit_Report.pdf,Audit Report
5,pdf,0,Zamboanga City State Polytechnic College,Zamboanga City State Polytechnic College/summary.txt,12297,True,04-ZCSPC2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Compostela Valley State College,Compostela Valley State College/summary.txt,11621,True,03-CVSC2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Davao del Norte State College,Davao del Norte State College/summary.txt,8644,True,03-DNSC2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Davao del Sur State College,Davao del Sur State College/summary.txt,13140,True,03-DSSC2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Southern Philippines Agri-Business and Marine and Aquatic School of Technology,Southern Philippines Agri-Business and Marine and Aquatic School of Technology/summary.txt,11888,True,03-SPAMAST2020_Executive_Summary.pdf,Executive Summary
54,pdf,1,Cotabato Foundation College of Science and Technology,Cotabato Foundation College of Science and Technology/summary.txt,89964,True,CFCST2020_Audit_Report.pdf,Audit Report
79,pdf,1,Mindanao State University,Mindanao State University/summary.txt,156588,True,MSU2020_Audit_Report.pdf,Audit Report
127,pdf,1,Sultan Kudarat State University,Sultan Kudarat State University/summary.txt,221529,True,SKSU2020_Audit_Report.pdf,Audit Report
155,pdf,1,Agusan del Sur State College of Agriculture and Technology,Agusan del Sur State College of Agriculture and Technology/summary.txt,331654,True,ASSCAT2020_Audit_Report.pdf,Audit Report
148,pdf,-1,Caraga State University,Caraga State University/summary.txt,281471,True,CSU-R13_aar2020.pdf,N/A
230,pdf,1,Surigao State College of Technology,Surigao State College of Technology/summary.txt,441689,True,SSCT2020_Audit_Report.pdf,Audit Report
66,pdf,1,Adiong Memorial Polytechnic State College,Adiong Memorial Polytechnic State College/summary.txt,78555,True,AMPSC2020_Audit_Report.pdf,Audit Report
176,pdf,1,Mindanao State University - Main Campus,Mindanao State University - Main Campus/summary.txt,349964,True,MSU2020_Audit_Report.pdf,Audit Report
143,pdf,1,Mindanao State University - Tawi-Tawi College of Technology and Oceanography,Mindanao State University - Tawi-Tawi College of Technology and Oceanography/summary.txt,217825,True,MSU-TCTO2020_Audit_Report.pdf,Audit Report
94,pdf,1,Tawi-Tawi Regional Agricultural College,Tawi-Tawi Regional Agricultural College/summary.txt,5441,True,TRAC2020_Audit_Report.pdf,Audit Report
37,pdf,0,Technical Education and Skills Development Authority,Technical Education and Skills Development Authority/summary.txt,86075,True,03-TESDA2020_Executive Summary.pdf,Executive Summary
7,pdf,0,Philippine Carabao Center,Philippine Carabao Center/summary.txt,17831,True,03-PCC2020_Executive_Summary.pdf,Executive Summary
118,pdf,1,Forest Products Research and Development Institute,Forest Products Research and Development Institute/summary.txt,260616,True,FPRDI2020_Audit_Report.pdf,Audit Report
189,pdf,1,"Philippine Council for Agriculture, Aquatic and Natural Resources Research and Devt.","Philippine Council for Agriculture, Aquatic and Natural Resources Research and Devt./summary.txt",447008,True,PCAARRD2020_Audit_Report.pdf,Audit Report
104,pdf,1,Philippine High School for the Arts,Philippine High School for the Arts/summary.txt,344,False,PHSA2020_Audit_Report.pdf,Audit Report
46,pdf,1,Bangsamoro Human Rights Commission,Bangsamoro Human Rights Commission/summary.txt,60835,True,BHRC2020_Audit_Report.pdf,Audit Report
55,pdf,1,Ministry of Human Settlement and Development,Ministry of Human Settlement and Development/summary.txt,93373,True,MHSD2020_Audit_Report.pdf,Audit Report
45,pdf,1,Ministry of Public Order and Safety,Ministry of Public Order and Safety/summary.txt,65594,True,MPOS2020_Audit_Report.pdf,Audit Report
84,pdf,1,Ministry of Social Services and Development,Ministry of Social Services and Development/summary.txt,142529,True,MSSD2020_Audit_Report.pdf,Audit Report
