pagec,content_type,type,agency,dest,byte_len,is_avail,fn,type_text
7,docx,0,Negros Oriental State University,Negros Oriental State University/summary.txt,13311,True,04-NORSU2020_Executive_Summary.docx,Executive Summary
7,docx,0,Northern Negros State College of Science and Technology,Northern Negros State College of Science and Technology/summary.txt,11496,True,06-NONESCOST2020_Executive_Summary.docx,Executive Summary
5,docx,0,Siquijor State College,Siquijor State College/summary.txt,10420,True,04-SSC2020_Executive_Summary.docx,Executive Summary
5,docx,0,Court of Appeals,Court of Appeals/summary.txt,11190,True,03-CA2020_Executive_Summary.docx,Executive Summary
4,docx,0,Court of Tax Appeals,Court of Tax Appeals/summary.txt,6676,True,03-CTA2020_Executive_Summary.docx,Executive Summary
4,docx,0,Presidential Electoral Tribunal,Presidential Electoral Tribunal/summary.txt,7545,True,03-PET2020_Executive_Summary.docx,Executive Summary
5,docx,0,Sandiganbayan,Sandiganbayan/summary.txt,10530,True,03-SB2020_Executive_Summary.docx,Executive Summary
6,docx,0,Government Arsenal,Government Arsenal/summary.txt,13264,True,03-GovernmentArsenal2020_Executive_Summary.docx,Executive Summary
6,docx,0,Philippine Center for Postharvest Development and Mechanization,Philippine Center for Postharvest Development and Mechanization/summary.txt,14825,True,03-PhilMech2020_Executive_Summary.docx,Executive Summary
4,docx,0,Palawan Council for Sustainable Development Staff,Palawan Council for Sustainable Development Staff/summary.txt,7484,True,2-PCSDS2020_Executive Summary.docx,Executive Summary
5,docx,0,Davao Integrated Development Program - Project Management Office,Davao Integrated Development Program - Project Management Office/summary.txt,11185,True,03-DIDPPMO2020_Executive_Summary.docx,Executive Summary
3,docx,0,Mindanao Development Authority,Mindanao Development Authority/summary.txt,11197,True,03-MDA2020_Executive_Summary.docx,Executive Summary
22,pdf,0,Commission on Higher Education,Commission on Higher Education/summary.txt,50619,True,03-CHED2020_Executive_Summary.pdf,Executive Summary
166,pdf,3,Commission on Elections - Management Letter,Commission on Elections - Management Letter/summary.txt,336585,True,02-COMELEC2020_Management_Letter.pdf,Management Letter
7,pdf,0,Department of Budget and Management,Department of Budget and Management/summary.txt,15253,True,03-DBM2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Government Procurement Policy Board - Technical Support Office,Government Procurement Policy Board - Technical Support Office/summary.txt,7885,True,03_GPPB-TSO2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,Procurement Service,Procurement Service/summary.txt,16965,True,03-PS2020_Executive_Summary.pdf,Executive Summary
57,pdf,0,Department of Education,Department of Education/summary.txt,132475,True,03-DEPED2020_Executive_Summary.pdf,Executive Summary
11,pdf,0,Early Childhood Care and Development Council,Early Childhood Care and Development Council/summary.txt,23739,True,03-ECCDC2020_Executive_Summary.pdf,Executive Summary
9,pdf,0,National Book Development Board,National Book Development Board/summary.txt,19476,True,03-NBDB2020_Executive_Summary.pdf,Executive Summary
9,pdf,0,National Council for Children's Television,National Council for Children's Television/summary.txt,19699,True,03-NCCT2020_Executive_Summary.pdf,Executive Summary
16,pdf,0,National Museum of the Philippines,National Museum of the Philippines/summary.txt,36403,True,03-NM2020_Executive_Summary.pdf,Executive Summary
12,pdf,0,Department of Energy,Department of Energy/summary.txt,32787,True,03-DOE2020_Executive_Summary.pdf,Executive Summary
27,pdf,3,Energy Regulatory Commission - Management Letter,Energy Regulatory Commission - Management Letter/summary.txt,69746,True,02-ERC2020_Management_Letter.pdf,Management Letter
65,pdf,3,Environmental Management Bureau - Management Letter,Environmental Management Bureau - Management Letter/summary.txt,158712,True,02-EMB2020_Management_Letter.pdf,Management Letter
6,pdf,0,Department of Finance,Department of Finance/summary.txt,13789,True,03-DOF2020_Executive_Summary.pdf,Executive Summary
1,pdf,2,Anti-Money Laundering Council,Anti-Money Laundering Council/summary.txt,298,False,01-AMLC2020_Cover.pdf,ML
7,pdf,0,Bureau of Customs,Bureau of Customs/summary.txt,18120,True,03-BOC2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Bureau of Internal Revenue,Bureau of Internal Revenue/summary.txt,13386,True,03-BIR2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Bureau of Local Government Finance,Bureau of Local Government Finance/summary.txt,11640,True,03-BLGF2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Bureau of the Treasury - National Government,Bureau of the Treasury - National Government/summary.txt,13525,True,03-BTR-NG2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Bureau of the Treasury-Proper,Bureau of the Treasury-Proper/summary.txt,10996,True,03-BTr-Proper2020_Executive_Summary.pdf,Executive Summary
3,pdf,0,Central Board of Assessment Appeals,Central Board of Assessment Appeals/summary.txt,6899,True,03-CBAA2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Insurance Commission,Insurance Commission/summary.txt,11322,True,03_IC2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Municipal Development Fund Office,Municipal Development Fund Office/summary.txt,8920,True,03_MDFO2020_Executive_Summary.pdf,Executive Summary
3,pdf,0,National Tax Research Center,National Tax Research Center/summary.txt,7141,True,03_NTRC2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Privatization and Management Office,Privatization and Management Office/summary.txt,13001,True,03-PMO2020_Executive_Summary.pdf,Executive Summary
6,pdf,0,Securities and Exchange Commission,Securities and Exchange Commission/summary.txt,12982,True,03-SEC2020_Executive_Summary.pdf,Executive Summary
12,pdf,0,Department of Foreign Affairs,Department of Foreign Affairs/summary.txt,24983,True,03-DFA2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Commission on Filipino Overseas,Commission on Filipino Overseas/summary.txt,11242,True,03-CFO2020_Executive_Summary.pdf,Executive Summary
4,pdf,0,Technical Cooperation Council of the Philippines,Technical Cooperation Council of the Philippines/summary.txt,7640,True,03-TCCP2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,UNESCO National Commission of the Philippines,UNESCO National Commission of the Philippines/summary.txt,8610,True,03-UNACOM2020_Executive_Summary.pdf,Executive Summary
5,pdf,0,Foreign Service Institute,Foreign Service Institute/summary.txt,8436,True,03-FSI2020_Executive_Summary.pdf,Executive Summary
11,pdf,0,Department of Health,Department of Health/summary.txt,30712,True,03-DOH2020_Executive_Summary.pdf,Executive Summary
7,pdf,0,National Nutrition Council,National Nutrition Council/summary.txt,18133,True,03-NNC2020_Executive_Summary.pdf,Executive Summary
12,pdf,0,Human Settlement and Adjudication Commission,Human Settlement and Adjudication Commission/summary.txt,23554,True,03-HSAC2020_Executive Summary.pdf,Executive Summary
100,pdf,3,Department of Information and Communications Technology - Consolidated Management Letter,Department of Information and Communications Technology - Consolidated Management Letter/summary.txt,268696,True,03-DICT2020_Consolidated_Management_Letter.pdf,Management Letter
5,pdf,0,National Privacy Commission,National Privacy Commission/summary.txt,10919,True,03-NPC2020_Executive_Summary.pdf,Executive Summary
8,pdf,0,National Telecommunications Commission,National Telecommunications Commission/summary.txt,17340,True,03-NTC2020_Executive_Summary.pdf,Executive Summary
